國文,英文,數學,社會,自然
14,14,11,8,10
8,12,7,14,8
7,11,10,13,6
13,6,8,11,9
8,10,10,15,9
14,11,10,8,7
11,9,12,7,12
11,11,13,14,12
7,6,11,11,8
11,7,15,9,10
10,8,11,6,8
10,13,9,8,12
11,13,12,11,10
13,7,15,11,13
7,12,6,14,12
11,14,14,14,15
14,15,7,15,6
13,10,6,7,15
12,8,11,14,9
11,15,14,13,15
11,8,13,7,6
6,12,8,11,6
15,14,8,14,14
15,10,7,7,8
6,7,7,8,6
7,13,8,13,10
11,10,11,10,12
6,9,6,6,9
12,13,14,12,13
6,15,10,13,10
10,6,15,6,15
13,11,7,8,9
15,12,15,9,11
13,8,6,7,7
8,13,7,7,9
12,9,13,10,9
14,15,9,9,9
11,11,6,11,13
12,9,9,12,14
8,13,10,14,11
6,14,13,15,10
7,6,14,6,15
12,12,7,11,9
13,11,12,8,11
14,14,6,15,7
6,10,9,9,13
9,7,8,9,7
12,14,8,10,12
10,8,11,10,13
6,14,13,8,13
11,7,7,9,9
13,8,6,7,6
7,14,14,8,14
12,6,8,14,10
11,15,10,13,7
12,11,12,9,11
11,15,14,10,14
14,7,10,11,11
7,8,15,13,8
11,8,6,7,9
13,11,11,15,8
8,7,12,6,10
6,11,8,7,14
8,9,6,7,6
7,10,9,14,9
6,9,8,13,13
10,9,7,12,14
7,10,9,6,11
7,12,7,8,15
15,12,6,15,10
15,10,9,15,10
14,14,6,9,14
12,14,15,6,15
9,11,7,6,10
7,6,13,13,10
6,14,6,9,8
15,8,15,8,10
14,7,10,12,9
15,8,7,8,7
9,10,8,14,9
13,6,8,14,6
13,10,7,12,13
15,10,14,7,11
13,13,6,12,8
6,10,12,8,11
9,13,8,13,14
9,13,11,15,12
8,13,9,15,7
8,12,7,14,6
6,11,13,10,7
10,11,7,13,12
6,10,14,7,9
8,6,15,15,12
10,6,12,9,6
7,6,8,10,11
11,14,6,8,14
15,9,12,8,8
11,8,6,13,14
8,10,11,6,14
13,10,12,8,14
